latitude,longitude,productivity_change,water_temp,oxygen_level,stocking_density,pond_depth
57.95494825798112,131.1181048115466,10.5,16.59019067253195,8.395887380838161,8.139928458627098,1.3696220096996885
38.10539504026542,92.73468799357916,3.52,23.48333954693689,5.679707988803852,10.940566837605385,1.1119934420858506
59.21811979003481,109.30299374573369,7.0,20.571646968853305,8.663231793608512,8.542768648810815,1.4022798030560235
56.03426937918678,118.09004066441048,7.0,22.215278005410468,5.537016153523697,17.258960408319737,1.6868176345916668
51.44877402858056,64.68520414752886,7.0,22.597220693944,7.361464207105945,15.776462519432874,3.343963817357523
48.50961723624407,119.51166098028224,7.0,22.1931703949391,5.564160659217386,7.46916727546124,2.0228445610787094
35.29408191526707,94.62312760805582,7.0,21.79950062307264,7.672274795690861,12.63654454126458,4.243157824282728
43.39859459721458,59.20936493564061,7.0,16.694157739711205,7.362003176920956,11.103693941272876,3.9233915251243463
42.99125977406442,51.05555735154408,7.0,20.57065517710364,5.847507784745439,12.201516474589337,4.8313880766732895
38.69911068763999,119.4020303472891,7.0,18.47773304316815,8.65225062884251,17.721650845533066,3.9767484015465486
48.42802094537911,125.43356075835212,7.0,16.220568748863396,6.984715782813165,8.515426290663232,3.067916355583374
44.03529894950295,101.73650435890032,0.9,19.75192827412863,7.975473045586416,5.285241145495228,2.9021569945537675
35.60408587710971,97.30756577634357,0.41,15.46349152668324,6.627657580214844,19.911821651704063,4.208034570972941
